# File: customers.csv
# Path: assets/data/customers.csv
# Customer segmentation dataset for business clustering analysis
# Features: customer_id, age, annual_income, spending_score, gender, years_customer, num_purchases, preferred_category, region
# 200 customer records for demonstrating market segmentation

customer_id,age,annual_income,spending_score,gender,years_customer,num_purchases,preferred_category,region
1,19,15000,39,Male,2,12,Electronics,West
2,21,15000,81,Male,1,24,Fashion,West
3,20,16000,6,Female,3,3,Books,East
4,23,16000,77,Female,1,18,Fashion,East
5,31,17000,40,Female,4,15,Home,North
6,22,17000,76,Female,2,22,Fashion,South
7,35,18000,6,Female,6,8,Books,North
8,23,18000,94,Male,1,31,Electronics,West
9,64,19000,3,Female,12,5,Books,East
10,30,19000,72,Male,5,28,Sports,West
11,67,19000,14,Male,15,9,Books,East
12,35,19000,99,Female,7,35,Fashion,North
13,58,20000,15,Female,10,12,Home,South
14,24,20000,77,Male,2,25,Electronics,West
15,37,20000,13,Male,8,10,Books,North
16,22,20000,79,Female,1,26,Fashion,East
17,35,21000,35,Male,6,17,Home,North
18,20,21000,66,Female,1,20,Fashion,West
19,52,23000,29,Male,9,16,Home,South
20,35,23000,98,Female,7,34,Fashion,North
21,35,24000,35,Male,6,18,Home,North
22,25,25000,73,Female,3,24,Fashion,West
23,46,25000,5,Male,11,7,Books,East
24,31,25000,73,Female,5,25,Fashion,North
25,54,28000,14,Male,12,11,Books,South
26,29,28000,82,Female,4,29,Fashion,West
27,45,28000,32,Male,9,19,Home,East
28,35,28000,61,Female,7,22,Sports,North
29,40,29000,31,Male,8,17,Home,South
30,23,29000,87,Female,2,30,Fashion,West
31,60,30000,4,Female,14,6,Books,East
32,21,30000,73,Female,1,25,Fashion,West
33,53,33000,4,Female,11,5,Books,South
34,18,33000,92,Female,1,32,Electronics,East
35,49,33000,14,Male,10,12,Books,North
36,21,33000,81,Female,1,27,Fashion,West
37,42,34000,17,Male,9,13,Home,South
38,30,34000,73,Female,5,26,Fashion,North
39,36,37000,26,Male,7,16,Home,East
40,20,37000,75,Female,1,24,Fashion,West
41,65,38000,35,Male,16,18,Home,South
42,24,38000,92,Female,2,33,Electronics,East
43,48,39000,36,Male,10,19,Home,North
44,31,39000,61,Female,5,21,Sports,West
45,49,39000,28,Male,11,15,Home,South
46,24,39000,65,Female,2,23,Fashion,East
47,50,40000,55,Female,12,20,Sports,North
48,27,40000,47,Male,4,18,Sports,West
49,29,40000,42,Female,5,17,Home,South
50,31,40000,42,Male,6,16,Home,East
51,49,42000,52,Male,11,19,Sports,North
52,33,43000,60,Female,6,22,Sports,West
53,31,43000,54,Male,5,20,Sports,South
54,59,43000,60,Female,13,21,Sports,East
55,50,43000,45,Female,12,17,Home,North
56,47,43000,51,Male,10,18,Sports,West
57,51,44000,46,Female,12,17,Sports,South
58,69,44000,56,Male,18,20,Sports,East
59,27,46000,51,Male,4,19,Sports,North
60,53,46000,46,Female,11,17,Sports,West
61,70,46000,56,Male,19,21,Sports,South
62,19,46000,55,Female,1,20,Electronics,East
63,67,47000,52,Male,17,19,Sports,North
64,54,47000,59,Male,12,22,Sports,West
65,63,48000,51,Male,15,18,Sports,South
66,18,48000,59,Female,1,21,Electronics,East
67,43,48000,50,Female,9,18,Sports,North
68,68,48000,48,Male,18,17,Sports,West
69,19,48000,59,Male,1,22,Electronics,South
70,32,48000,47,Male,6,17,Sports,East
71,70,49000,55,Female,20,20,Sports,North
72,47,49000,42,Male,10,16,Home,West
73,60,50000,49,Female,14,18,Sports,South
74,60,50000,56,Male,14,21,Sports,East
75,59,54000,47,Male,13,17,Sports,North
76,26,54000,54,Female,3,20,Sports,West
77,45,54000,53,Male,9,19,Sports,South
78,40,54000,48,Female,8,17,Sports,East
79,23,54000,52,Female,2,19,Electronics,North
80,49,54000,42,Male,11,16,Home,West
81,57,57000,51,Male,13,18,Sports,South
82,38,57000,55,Male,7,20,Sports,East
83,67,57000,53,Female,17,19,Sports,North
84,46,58000,54,Female,10,20,Sports,West
85,21,58000,52,Male,1,19,Electronics,South
86,28,58000,51,Female,4,18,Sports,East
87,27,58000,52,Male,4,19,Sports,North
88,62,58000,50,Female,15,18,Sports,West
89,49,59000,51,Male,11,18,Sports,South
90,39,59000,56,Female,8,21,Sports,East
91,23,70000,46,Female,2,17,Electronics,North
92,31,70000,50,Male,5,18,Sports,West
93,43,71000,50,Female,9,18,Sports,South
94,40,71000,54,Male,8,20,Sports,East
95,59,71000,54,Male,13,20,Sports,North
96,38,71000,52,Female,7,19,Sports,West
97,47,71000,48,Male,10,17,Sports,South
98,39,71000,59,Female,8,22,Sports,East
99,25,72000,55,Female,3,20,Electronics,North
100,31,72000,50,Male,5,18,Sports,West
101,20,73000,44,Female,1,16,Electronics,South
102,44,73000,50,Male,9,18,Sports,East
103,32,75000,47,Male,6,17,Sports,North
104,35,75000,53,Female,7,19,Sports,West
105,57,76000,59,Male,13,22,Sports,South
106,36,77000,55,Female,7,20,Sports,East
107,18,77000,40,Female,1,15,Electronics,North
108,46,78000,49,Male,10,18,Sports,West
109,50,78000,56,Female,12,21,Sports,South
110,42,78000,41,Male,8,15,Home,East
111,22,78000,52,Female,2,19,Electronics,North
112,48,78000,47,Male,11,17,Sports,West
113,32,78000,47,Female,6,17,Sports,South
114,25,78000,50,Female,3,18,Electronics,East
115,67,78000,54,Male,17,20,Sports,North
116,54,78000,59,Female,12,22,Sports,West
117,57,78000,56,Male,13,21,Sports,South
118,26,78000,40,Female,3,15,Electronics,East
119,20,79000,46,Male,1,17,Electronics,North
120,32,79000,50,Female,6,18,Sports,West
121,58,81000,50,Female,13,18,Sports,South
122,58,81000,42,Male,13,16,Home,East
123,34,81000,46,Female,6,17,Sports,North
124,18,82000,51,Female,1,18,Electronics,West
125,53,82000,58,Female,12,21,Sports,South
126,66,82000,55,Male,16,20,Sports,East
127,47,82000,46,Female,10,17,Sports,North
128,35,82000,58,Female,7,21,Sports,West
129,65,83000,52,Female,16,19,Sports,South
130,47,83000,59,Female,10,22,Sports,East
131,49,83000,50,Male,11,18,Sports,North
132,27,83000,46,Male,4,17,Sports,West
133,38,83000,54,Female,7,20,Sports,South
134,40,84000,48,Male,8,17,Sports,East
135,39,84000,59,Female,8,22,Sports,North
136,23,84000,40,Male,2,15,Electronics,West
137,35,84000,47,Female,7,17,Sports,South
138,36,84000,54,Male,7,20,Sports,East
139,42,84000,50,Female,8,18,Sports,North
140,28,84000,51,Male,4,18,Sports,West
141,46,85000,56,Male,10,21,Sports,South
142,47,85000,52,Female,10,19,Sports,East
143,27,85000,51,Female,4,18,Sports,North
144,37,85000,52,Male,7,19,Sports,West
145,42,85000,53,Female,8,19,Sports,South
146,30,85000,48,Male,5,17,Sports,East
147,58,86000,50,Female,13,18,Sports,North
148,61,86000,59,Male,14,22,Sports,West
149,35,87000,55,Female,7,20,Sports,South
150,37,87000,48,Male,7,17,Sports,East
151,30,87000,54,Female,5,20,Sports,North
152,20,87000,43,Male,1,16,Electronics,West
153,18,87000,50,Female,1,18,Electronics,South
154,21,87000,52,Female,1,19,Electronics,East
155,65,87000,58,Male,16,21,Sports,North
156,31,87000,53,Female,5,19,Sports,West
157,45,88000,50,Female,9,18,Sports,South
158,28,88000,49,Male,4,18,Sports,East
159,28,88000,51,Female,4,18,Sports,North
160,32,88000,58,Male,6,21,Sports,West
161,25,90000,52,Female,3,19,Electronics,South
162,28,90000,53,Male,4,19,Sports,East
163,48,90000,59,Female,11,22,Sports,North
164,22,90000,50,Female,2,18,Electronics,West
165,26,90000,55,Male,3,20,Electronics,South
166,24,90000,42,Female,2,16,Electronics,East
167,25,90000,54,Male,3,20,Electronics,North
168,34,90000,50,Female,6,18,Sports,West
169,35,90000,52,Male,7,19,Sports,South
170,45,90000,54,Female,9,20,Sports,East
171,26,90000,48,Male,3,17,Electronics,North
172,31,90000,54,Female,5,20,Sports,West
173,26,90000,49,Female,3,18,Electronics,South
174,30,90000,56,Male,5,21,Sports,East
175,28,90000,47,Female,4,17,Sports,North
176,23,93000,48,Male,2,17,Electronics,West
177,31,93000,50,Female,5,18,Sports,South
178,22,93000,42,Female,2,16,Electronics,East
179,35,93000,67,Female,7,24,Fashion,North
180,25,93000,50,Male,3,18,Electronics,West
181,24,93000,51,Female,2,18,Electronics,South
182,28,93000,52,Male,4,19,Sports,East
183,24,93000,59,Female,2,22,Electronics,North
184,23,96000,49,Male,2,18,Electronics,West
185,26,96000,65,Female,3,23,Fashion,South
186,27,96000,50,Male,4,18,Sports,East
187,23,96000,66,Female,2,23,Fashion,North
188,32,96000,52,Female,6,19,Sports,West
189,29,96000,50,Male,4,18,Sports,South
190,24,96000,51,Female,2,18,Electronics,East
191,19,98000,67,Female,1,24,Fashion,North
192,23,98000,52,Male,2,19,Electronics,West
193,24,98000,66,Female,2,23,Fashion,South
194,26,98000,47,Male,3,17,Sports,East
195,27,98000,58,Female,4,21,Sports,North
196,29,98000,55,Male,4,20,Sports,West
197,25,99000,68,Female,3,24,Fashion,South
198,25,99000,64,Male,3,23,Electronics,East
199,24,99000,69,Female,2,25,Fashion,North
200,32,99000,61,Male,6,22,Sports,West
