# File: ecommerce.csv
# Path: assets/data/ecommerce.csv
# E-commerce behavior clustering dataset for customer analytics
# Features: customer_id, session_duration_minutes, pages_viewed, products_viewed, cart_additions, purchases, revenue, bounce_rate, device_type, traffic_source, time_on_site_minutes, conversion_rate, avg_order_value, return_customer, age_group, location
# 200 customer behavior records for demonstrating e-commerce user segmentation

customer_id,session_duration_minutes,pages_viewed,products_viewed,cart_additions,purchases,revenue,bounce_rate,device_type,traffic_source,time_on_site_minutes,conversion_rate,avg_order_value,return_customer,age_group,location
1,2.5,3,2,0,0,0.00,1.0,Mobile,Social,2.1,0.00,0.00,0,25-34,Urban
2,15.8,12,8,3,1,89.99,0.0,Desktop,Search,14.2,0.33,89.99,1,35-44,Suburban
3,1.2,1,0,0,0,0.00,1.0,Mobile,Direct,0.8,0.00,0.00,0,18-24,Urban
4,28.7,24,18,8,3,247.50,0.0,Desktop,Email,26.3,0.38,82.50,1,45-54,Suburban
5,45.2,38,28,12,5,456.78,0.0,Desktop,Search,42.1,0.42,91.36,1,35-44,Urban
6,3.1,4,3,1,0,0.00,0.0,Mobile,Social,2.8,0.00,0.00,0,18-24,Rural
7,18.9,16,12,5,2,134.88,0.0,Tablet,Direct,17.2,0.40,67.44,0,25-34,Suburban
8,0.8,1,0,0,0,0.00,1.0,Mobile,Search,0.5,0.00,0.00,0,18-24,Urban
9,35.6,32,24,10,4,298.76,0.0,Desktop,Email,33.8,0.40,74.69,1,45-54,Urban
10,52.3,45,35,15,7,623.45,0.0,Desktop,Direct,48.9,0.47,89.06,1,35-44,Suburban
11,1.5,2,1,0,0,0.00,1.0,Mobile,Social,1.2,0.00,0.00,0,25-34,Urban
12,22.4,19,14,6,2,156.88,0.0,Desktop,Search,20.7,0.33,78.44,0,35-44,Rural
13,67.8,58,42,18,8,734.52,0.0,Desktop,Email,64.2,0.44,91.82,1,45-54,Urban
14,2.3,3,2,0,0,0.00,1.0,Mobile,Direct,1.9,0.00,0.00,0,18-24,Suburban
15,41.7,36,27,11,5,389.95,0.0,Desktop,Search,38.9,0.45,77.99,1,35-44,Urban
16,5.2,6,4,1,0,0.00,0.0,Tablet,Social,4.8,0.00,0.00,0,25-34,Rural
17,29.3,25,19,8,3,223.47,0.0,Desktop,Email,27.1,0.38,74.49,0,45-54,Suburban
18,1.0,1,0,0,0,0.00,1.0,Mobile,Search,0.7,0.00,0.00,0,18-24,Urban
19,48.9,42,32,14,6,512.34,0.0,Desktop,Direct,45.3,0.43,85.39,1,35-44,Urban
20,73.2,63,48,20,9,798.45,0.0,Desktop,Email,69.7,0.45,88.72,1,45-54,Suburban
21,2.8,3,2,0,0,0.00,1.0,Mobile,Social,2.4,0.00,0.00,0,25-34,Urban
22,16.4,14,10,4,1,92.15,0.0,Tablet,Search,15.1,0.25,92.15,0,35-44,Rural
23,56.7,49,37,16,7,634.89,0.0,Desktop,Email,53.2,0.44,90.70,1,45-54,Urban
24,1.8,2,1,0,0,0.00,1.0,Mobile,Direct,1.3,0.00,0.00,0,18-24,Suburban
25,33.5,29,22,9,4,312.76,0.0,Desktop,Search,31.2,0.44,78.19,1,35-44,Urban
26,4.1,5,3,1,0,0.00,0.0,Mobile,Social,3.7,0.00,0.00,0,25-34,Rural
27,25.8,22,16,7,2,178.64,0.0,Desktop,Email,23.9,0.29,89.32,0,45-54,Suburban
28,0.9,1,0,0,0,0.00,1.0,Mobile,Search,0.6,0.00,0.00,0,18-24,Urban
29,44.6,38,29,13,5,445.75,0.0,Desktop,Direct,41.8,0.38,89.15,1,35-44,Urban
30,81.4,71,54,23,10,912.48,0.0,Desktop,Email,77.9,0.43,91.25,1,45-54,Suburban
31,3.2,4,3,0,0,0.00,0.0,Mobile,Social,2.9,0.00,0.00,0,25-34,Urban
32,19.7,17,12,5,2,167.88,0.0,Tablet,Search,18.3,0.40,83.94,0,35-44,Rural
33,62.1,54,41,17,8,723.56,0.0,Desktop,Email,58.7,0.47,90.45,1,45-54,Urban
34,2.1,2,1,0,0,0.00,1.0,Mobile,Direct,1.7,0.00,0.00,0,18-24,Suburban
35,37.8,33,25,10,4,356.44,0.0,Desktop,Search,35.2,0.40,89.11,1,35-44,Urban
36,6.3,7,5,2,0,0.00,0.0,Mobile,Social,5.8,0.00,0.00,0,25-34,Rural
37,27.5,24,18,8,3,234.57,0.0,Desktop,Email,25.6,0.38,78.19,0,45-54,Suburban
38,1.3,1,0,0,0,0.00,1.0,Mobile,Search,0.9,0.00,0.00,0,18-24,Urban
39,46.2,40,31,13,6,534.72,0.0,Desktop,Direct,43.1,0.46,89.12,1,35-44,Urban
40,78.9,68,52,22,10,889.70,0.0,Desktop,Email,75.3,0.45,88.97,1,45-54,Suburban
41,2.7,3,2,0,0,0.00,1.0,Mobile,Social,2.3,0.00,0.00,0,25-34,Urban
42,21.3,18,13,6,2,178.46,0.0,Tablet,Search,19.8,0.33,89.23,0,35-44,Rural
43,59.4,52,39,16,7,645.83,0.0,Desktop,Email,56.1,0.44,92.26,1,45-54,Urban
44,1.6,2,1,0,0,0.00,1.0,Mobile,Direct,1.2,0.00,0.00,0,18-24,Suburban
45,39.1,34,26,11,5,423.55,0.0,Desktop,Search,36.7,0.45,84.71,1,35-44,Urban
46,5.4,6,4,1,0,0.00,0.0,Mobile,Social,4.9,0.00,0.00,0,25-34,Rural
47,29.8,26,19,8,3,267.84,0.0,Desktop,Email,27.3,0.38,89.28,0,45-54,Suburban
48,1.1,1,0,0,0,0.00,1.0,Mobile,Search,0.8,0.00,0.00,0,18-24,Urban
49,47.7,41,32,14,6,556.74,0.0,Desktop,Direct,44.2,0.43,92.79,1,35-44,Urban
50,85.3,74,56,24,11,967.82,0.0,Desktop,Email,81.7,0.46,87.98,1,45-54,Suburban
51,3.5,4,3,1,0,0.00,0.0,Mobile,Social,3.1,0.00,0.00,0,25-34,Urban
52,17.9,15,11,5,2,156.78,0.0,Tablet,Search,16.4,0.40,78.39,0,35-44,Rural
53,64.7,56,43,18,8,734.92,0.0,Desktop,Email,61.2,0.44,91.87,1,45-54,Urban
54,2.4,3,2,0,0,0.00,1.0,Mobile,Direct,2.0,0.00,0.00,0,18-24,Suburban
55,41.3,36,27,12,5,467.85,0.0,Desktop,Search,38.8,0.42,93.57,1,35-44,Urban
56,7.1,8,6,2,1,89.45,0.0,Mobile,Social,6.6,0.33,89.45,0,25-34,Rural
57,31.2,27,20,9,3,278.37,0.0,Desktop,Email,28.9,0.33,92.79,0,45-54,Suburban
58,1.4,1,0,0,0,0.00,1.0,Mobile,Search,1.0,0.00,0.00,0,18-24,Urban
59,49.5,43,33,14,6,578.34,0.0,Desktop,Direct,46.1,0.43,96.39,1,35-44,Urban
60,91.6,79,60,26,12,1045.68,0.0,Desktop,Email,87.2,0.46,87.14,1,45-54,Suburban
61,2.9,3,2,0,0,0.00,1.0,Mobile,Social,2.5,0.00,0.00,0,25-34,Urban
62,23.4,20,15,6,2,189.76,0.0,Tablet,Search,21.7,0.33,94.88,0,35-44,Rural
63,67.8,59,45,19,8,756.84,0.0,Desktop,Email,64.3,0.42,94.61,1,45-54,Urban
64,1.9,2,1,0,0,0.00,1.0,Mobile,Direct,1.5,0.00,0.00,0,18-24,Suburban
65,43.6,38,29,12,5,489.75,0.0,Desktop,Search,40.9,0.42,97.95,1,35-44,Urban
