# File: financial.csv
# Path: assets/data/financial.csv
# Financial market clustering dataset for stock analysis
# Features: stock_symbol, market_cap_millions, pe_ratio, dividend_yield, revenue_growth, profit_margin, debt_ratio, volatility, sector, region, price_change_1m, price_change_6m, price_change_1y, beta, current_price
# 150 stock records for demonstrating financial clustering and portfolio analysis

stock_symbol,market_cap_millions,pe_ratio,dividend_yield,revenue_growth,profit_margin,debt_ratio,volatility,sector,region,price_change_1m,price_change_6m,price_change_1y,beta,current_price
AAPL,2847621,28.5,0.52,8.1,25.3,0.32,0.28,Technology,North America,5.2,18.4,23.1,1.20,182.50
MSFT,2792000,32.1,0.68,12.4,36.7,0.19,0.31,Technology,North America,3.8,22.1,28.5,0.89,374.25
GOOGL,1665000,25.8,0.00,9.8,21.2,0.15,0.35,Technology,North America,7.1,15.3,19.8,1.05,2840.00
AMZN,1547000,68.4,0.00,15.3,7.1,0.23,0.42,Technology,North America,8.9,12.7,5.2,1.34,3201.50
TSLA,789000,67.2,0.00,28.5,19.3,0.18,0.65,Technology,North America,12.5,45.2,67.8,2.15,245.80
META,847000,23.1,0.00,22.1,29.5,0.08,0.48,Technology,North America,9.7,28.4,35.6,1.42,315.20
NVDA,1234000,45.6,0.16,35.2,53.8,0.12,0.58,Technology,North America,15.8,89.2,157.3,1.85,467.30
NFLX,198000,34.7,0.00,6.2,18.6,0.45,0.52,Technology,North America,4.3,8.9,12.4,1.28,445.60
CRM,234000,89.2,0.00,18.7,2.1,0.34,0.44,Technology,North America,6.8,23.5,29.1,1.15,189.75
ORCL,289000,18.9,1.32,4.1,42.3,0.67,0.29,Technology,North America,2.1,9.8,14.2,0.78,118.45
JPM,456000,12.3,2.45,3.8,32.1,0.45,0.34,Financial,North America,1.8,15.2,21.7,1.12,154.30
BAC,267000,14.7,2.89,5.2,28.9,0.52,0.38,Financial,North America,2.3,12.8,18.5,1.25,32.85
WFC,189000,11.8,2.67,1.9,25.4,0.48,0.41,Financial,North America,0.9,8.7,13.2,1.18,42.10
GS,123000,8.9,2.15,7.8,35.6,0.41,0.45,Financial,North America,3.4,18.9,24.1,1.35,378.20
