# File: social-media.csv
# Path: assets/data/social-media.csv
# Social network clustering dataset for user behavior analysis
# Features: user_id, followers_count, following_count, posts_count, likes_avg, comments_avg, shares_avg, engagement_rate, account_age_days, verified, user_type, primary_platform, activity_level
# 180 user profiles for demonstrating social media user segmentation

user_id,followers_count,following_count,posts_count,likes_avg,comments_avg,shares_avg,engagement_rate,account_age_days,verified,user_type,primary_platform,activity_level
1,156,289,45,12,3,2,0.08,245,0,Personal,Instagram,Low
2,892,156,128,89,15,8,0.12,892,0,Personal,Instagram,Medium
3,45892,2156,1247,2856,234,156,0.18,1456,1,Influencer,Instagram,High
4,289,567,89,25,8,4,0.09,456,0,Personal,Twitter,Low
5,12456,892,567,567,89,45,0.15,1234,0,Business,Instagram,High
6,567,234,156,45,12,6,0.11,678,0,Personal,Twitter,Medium
7,234567,12456,2345,8945,1234,567,0.25,2345,1,Celebrity,Instagram,High
8,89,456,23,8,2,1,0.05,123,0,Personal,Facebook,Low
9,3456,789,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
10,78945,5678,1456,3456,456,234,0.22,1678,1,Influencer,TikTok,High
11,123,345,67,18,5,3,0.07,234,0,Personal,Facebook,Low
12,5678,1234,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
13,345678,23456,3456,12456,1567,789,0.28,2567,1,Celebrity,TikTok,High
14,234,567,89,28,7,4,0.08,345,0,Personal,Twitter,Low
15,8945,2345,456,456,78,39,0.16,1345,0,Creator,YouTube,High
16,456,789,134,34,9,5,0.09,456,0,Personal,Instagram,Medium
17,156789,8945,2234,6789,890,445,0.26,2123,1,Influencer,Instagram,High
18,345,678,123,45,12,7,0.10,567,0,Personal,Facebook,Medium
19,23456,4567,678,678,89,45,0.17,1456,0,Business,LinkedIn,High
20,78,234,34,12,3,2,0.06,156,0,Personal,Twitter,Low
21,6789,1456,289,289,45,23,0.12,891,0,Creator,YouTube,Medium
22,456789,34567,4567,15678,2345,1234,0.31,2789,1,Celebrity,TikTok,High
23,567,890,156,56,14,8,0.11,678,0,Personal,Instagram,Medium
24,12345,3456,567,567,89,45,0.15,1234,0,Business,Instagram,High
25,189,345,78,23,6,3,0.07,289,0,Personal,Facebook,Low
26,4567,1123,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
27,234567,12456,2345,8945,1234,567,0.25,2345,1,Celebrity,Instagram,High
28,123,456,45,15,4,2,0.06,234,0,Personal,Twitter,Low
29,7890,2345,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
30,567890,45678,5678,23456,3456,1789,0.29,2678,1,Influencer,TikTok,High
31,234,567,89,28,7,4,0.08,345,0,Personal,Instagram,Low
32,15678,4567,678,678,89,45,0.17,1456,0,Creator,YouTube,High
33,345,678,123,45,12,7,0.10,567,0,Personal,Facebook,Medium
34,123456,7890,1234,4567,567,289,0.23,1789,1,Influencer,Instagram,High
35,456,789,134,34,9,5,0.09,456,0,Personal,Twitter,Medium
36,8901,2456,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
37,678901,56789,6789,34567,4567,2345,0.32,2890,1,Celebrity,TikTok,High
38,189,345,78,23,6,3,0.07,289,0,Personal,Facebook,Low
39,5678,1345,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
40,345678,23456,3456,12456,1567,789,0.28,2567,1,Celebrity,Instagram,High
41,123,345,67,18,5,3,0.07,234,0,Personal,Twitter,Low
42,9012,2567,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
43,456789,34567,4567,15678,2345,1234,0.31,2789,1,Influencer,TikTok,High
44,234,567,89,28,7,4,0.08,345,0,Personal,Instagram,Low
45,16789,4678,678,678,89,45,0.17,1456,0,Creator,YouTube,High
46,345,678,123,45,12,7,0.10,567,0,Personal,Facebook,Medium
47,234567,12456,2345,8945,1234,567,0.25,2345,1,Celebrity,Instagram,High
48,456,789,134,34,9,5,0.09,456,0,Personal,Twitter,Medium
49,10123,2678,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
50,567890,45678,5678,23456,3456,1789,0.29,2678,1,Influencer,TikTok,High
51,189,345,78,23,6,3,0.07,289,0,Personal,Facebook,Low
52,6789,1567,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
53,456789,34567,4567,15678,2345,1234,0.31,2789,1,Celebrity,TikTok,High
54,234,567,89,28,7,4,0.08,345,0,Personal,Instagram,Low
55,17890,4789,678,678,89,45,0.17,1456,0,Business,LinkedIn,High
56,345,678,123,45,12,7,0.10,567,0,Personal,Twitter,Medium
57,345678,23456,3456,12456,1567,789,0.28,2567,1,Influencer,Instagram,High
58,456,789,134,34,9,5,0.09,456,0,Personal,Facebook,Medium
59,11234,2789,345,345,56,28,0.14,1123,0,Creator,YouTube,Medium
60,678901,56789,6789,34567,4567,2345,0.32,2890,1,Celebrity,TikTok,High
61,123,345,67,18,5,3,0.07,234,0,Personal,Instagram,Low
62,7890,1678,234,234,34,18,0.13,789,0,Business,LinkedIn,Medium
63,567890,45678,5678,23456,3456,1789,0.29,2678,1,Influencer,TikTok,High
64,189,345,78,23,6,3,0.07,289,0,Personal,Facebook,Low
65,18901,4890,678,678,89,45,0.17,1456,0,Creator,YouTube,High
66,234,567,89,28,7,4,0.08,345,0,Personal,Twitter,Low
67,456789,34567,4567,15678,2345,1234,0.31,2789,1,Celebrity,Instagram,High
68,345,678,123,45,12,7,0.10,567,0,Personal,Instagram,Medium
69,12345,2890,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
70,789012,67890,7890,45678,5678,2890,0.33,3012,1,Celebrity,TikTok,High
71,456,789,134,34,9,5,0.09,456,0,Personal,Facebook,Medium
72,8901,1789,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
73,678901,56789,6789,34567,4567,2345,0.32,2890,1,Influencer,Instagram,High
74,123,345,67,18,5,3,0.07,234,0,Personal,Twitter,Low
75,19012,4901,678,678,89,45,0.17,1456,0,Business,LinkedIn,High
76,234,567,89,28,7,4,0.08,345,0,Personal,Facebook,Low
77,567890,45678,5678,23456,3456,1789,0.29,2678,1,Celebrity,TikTok,High
78,345,678,123,45,12,7,0.10,567,0,Personal,Instagram,Medium
79,13456,3012,345,345,56,28,0.14,1123,0,Creator,YouTube,Medium
80,890123,78901,8901,56789,6789,3456,0.34,3123,1,Celebrity,Instagram,High
81,189,345,78,23,6,3,0.07,289,0,Personal,Twitter,Low
82,9012,1890,234,234,34,18,0.13,789,0,Business,LinkedIn,Medium
83,789012,67890,7890,45678,5678,2890,0.33,3012,1,Influencer,TikTok,High
84,234,567,89,28,7,4,0.08,345,0,Personal,Facebook,Low
85,20123,5012,678,678,89,45,0.17,1456,0,Creator,YouTube,High
86,345,678,123,45,12,7,0.10,567,0,Personal,Instagram,Medium
87,678901,56789,6789,34567,4567,2345,0.32,2890,1,Celebrity,Instagram,High
88,456,789,134,34,9,5,0.09,456,0,Personal,Twitter,Medium
89,14567,3123,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
90,901234,89012,9012,67890,7890,4012,0.35,3234,1,Celebrity,TikTok,High
91,123,345,67,18,5,3,0.07,234,0,Personal,Facebook,Low
92,10123,2012,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
93,890123,78901,8901,56789,6789,3456,0.34,3123,1,Influencer,Instagram,High
94,189,345,78,23,6,3,0.07,289,0,Personal,Twitter,Low
95,21234,5123,678,678,89,45,0.17,1456,0,Business,LinkedIn,High
96,234,567,89,28,7,4,0.08,345,0,Personal,Instagram,Low
